poblacion,generaciones_config,semilla,generacion,min_fitness,avg_fitness
20,60,8,42,657.0,779.7
20,60,8,43,657.0,765.95
20,60,8,44,657.0,736.3
20,60,8,45,657.0,745.85
20,60,8,46,657.0,757.575
20,60,8,47,657.0,713.1
20,60,8,48,657.0,672.7
20,60,8,49,657.0,747.425
20,60,8,50,657.0,688.275
20,60,8,51,657.0,657.0
20,60,8,52,657.0,682.275
20,60,8,53,657.0,678.85
20,60,8,54,657.0,690.2
20,60,8,55,657.0,721.35
20,60,8,56,657.0,705.675
20,60,8,57,657.0,752.9
20,60,8,58,657.0,697.975
20,60,8,59,657.0,671.975
20,60,8,60,657.0,746.925
20,150,1,0,1898.5,2698.75
20,150,1,1,1792.0,2304.1
20,150,1,2,1413.5,2000.0
20,150,1,3,1413.5,1832.675
20,150,1,4,1378.5,1669.0
20,150,1,5,1087.5,1441.125
20,150,1,6,892.0,1301.125
20,150,1,7,892.0,1134.075
20,150,1,8,892.0,1066.325
